Name,Year,Fantasy Points,Snap %,Targets,Target Share,Catch %,40 yd time
Travis Kelce,2017,226,90.1,122,22.5,68,4.66
Rob Gronkowski,2017,221,79.3,105,17.9,65.7,4.73
Zach Ertz,2017,197,68.8,110,19.5,67.3,4.76
Delanie Walker,2017,171,72.7,111,22.4,66.7,4.58
Evan Engram,2017,167,71.7,115,18.9,55.7,4.42
Jack Doyle,2017,164,88.3,108,22.2,74.1,4.91
Jimmy Graham,2017,164,68.4,95,17.1,60,4.56
Kyle Rudolph,2017,150,82.6,81,15.4,70.4,4.88
Jason Witten,2017,139,98.3,87,17.6,72.4,4.7
Cameron Brate,2017,136,53.6,77,12.7,62.3,4.82
Benjamin Watson,2017,132,64.4,79,13.9,77.2,4.57
Jared Cook,2017,125,78.6,86,15.4,62.8,4.5
Eric Ebron,2017,123,52.9,86,15.1,61.6,4.6
Hunter Henry,2017,123,56.2,62,10.6,72.6,4.73
Tyler Kroft,2017,118,85.7,62,12.2,67.7,4.8
Vernon Davis,2017,117,79,68,12.6,63.2,4.38
Charles Clay,2017,112,54.7,74,15.5,66.2,4.73
Austin Hooper,2017,111,76.7,65,12.3,75.4,4.72
George Kittle,2017,101,53.7,63,10.4,68.3,4.52
O.J. Howard,2017,98,55.6,39,6.4,66.7,4.51
Austin Seferian-Jenkins,2017,97,50,52,8.6,61.5,4.73
Jesse James,2017,93,81.9,63,10.7,68.3,4.83
Julius Thomas,2017,92,61.5,62,10.3,66.1,4.68
David Njoku,2017,88,46.9,60,10.5,53.3,4.64
Marcedes Lewis,2017,82,79,48,9.1,50,4.8
Trey Burton,2017,75,26.5,31,5.5,74.2,4.62
Antonio Gates,2017,75,47,52,8.9,57.7,4.6
Ed Dickson,2017,74,81.1,48,9.6,62.5,4.67
Garrett Celek,2017,73,50.9,33,5.4,63.6,4.77
Seth Devalve,2017,72,49.7,58,10.1,56.9,4.73
Jermaine Gresham,2017,71,66.7,46,7.7,71.7,4.66
Coby Fleener,2017,61,25.9,30,5.6,73.3,4.56
Stephen Anderson,2017,60,40,52,9.9,48.1,4.65
Nick O'Leary,2017,59,52,32,6.7,68.8,4.93
Jordan Reed,2017,57,22.9,35,6.5,77.1,4.72
Rhett Ellison,2017,55,49.6,32,5.3,75,4.88
Martellus Bennett,2017,54,36,44,7.5,68.2,4.68
Tyler Higbee,2017,54,70.6,45,8.7,55.6,4.67
A.J. Derby,2017,53,32.4,40,6.6,52.5,4.77
Zach Miller,2017,51,31.7,35,7.4,57.1,4.58
Luke Willson,2017,51,35.3,22,4,68.2,4.56
Darren Fells,2017,49,52.7,26,4.6,65.4,4.94
Ricky Seals-Jones,2017,49,11.7,28,4.7,42.9,4.69
Gerald Everett,2017,45,28.7,32,6.2,50,4.62
Jonnu Smith,2017,44,54.3,30,6,60,4.62
Demetrius Harris,2017,43,50.2,35,6.4,51.4,4.57
Nick Boyle,2017,42,64.1,37,6.5,75.7,5.04
Adam Shaheen,2017,41,24.1,14,3,85.7,4.79
Lance Kendricks,2017,40,44.7,35,6.5,77.1,4.75
Greg Olsen,2017,40,34,38,7.6,44.7,4.51
Travis Kelce,2018,287,95.1,150,25.8,68.7,4.66
Zach Ertz,2018,274,95.2,156,26.9,74.4,4.76
George Kittle,2018,252,85.2,136,23.6,64.7,4.52
Eric Ebron,2018,218,56.1,110,16.3,60,4.6
Jared Cook,2018,190,73.7,101,18.1,67.3,4.5
Austin Hooper,2018,155,80.9,88,15.4,80.7,4.72
Kyle Rudolph,2018,143,87.2,81,12.5,79,4.88
Trey Burton,2018,141,81.2,77,14.8,70.1,4.62
David Njoku,2018,138,80.1,89,15.9,62.9,4.64
Rob Gronkowski,2018,127,67.5,72,12.3,65.3,4.73
Jimmy Graham,2018,125,75.7,90,14.5,61.1,4.56
Vance McDonald,2018,125,49.1,73,10.3,68.5,4.69
Evan Engram,2018,119,43.9,64,8.2,70.3,4.42
O.J. Howard,2018,116,55.2,48,10.7,70.8,4.51
Jordan Reed,2018,116,64.1,84,20.6,64.3,4.72
Chris Herndon IV,2018,108,39.4,56,9.2,69.6,4.77
Mark Andrews,2018,101,34.2,50,7.8,68,4.67
C.J. Uzomah,2018,97,81.8,64,11.2,67.2,4.67
Cameron Brate,2018,86,39.2,49,6.7,61.2,4.82
Dallas Goedert,2018,86,43.3,44,6.8,75,4.69
Benjamin Watson,2018,82,50.1,46,9.9,76.1,4.57
Gerald Everett,2018,79,25.3,51,7,64.7,4.62
Jesse James,2018,77,55.9,39,6.7,76.9,4.83
Ian Thomas,2018,77,32.7,49,4.7,73.5,4.74
Greg Olsen,2018,76,60.1,38,10.2,71.1,4.51
Vernon Davis,2018,71,46.7,36,7.1,69.4,4.38
Blake Jarwin,2018,71,27,36,3,75,4.74
Antonio Gates,2018,70,32.5,46,8.9,60.9,4.6
Ricky Seals-Jones,2018,69,65.8,70,16.2,48.6,4.69
Nick Vannett,2018,68,53.3,43,11.3,67.4,4.94
Jeff Heuerman,2018,67,76.9,48,12.2,64.6,4.86
Jordan Thomas,2018,61,45.5,27,4.5,74.1,4.74
Jack Doyle,2018,60,42.6,33,7.5,78.8,4.91
Jonnu Smith,2018,60,80.1,31,8.6,64.5,4.62
Tyler Higbee,2018,59,77.1,34,6.5,70.6,4.67
Rhett Ellison,2018,54,58.4,34,6.2,73.5,4.88
Geoff Swaim,2018,52,72.4,32,9.5,81.2,4.75
Jason Croom,2018,51,35.7,35,7.1,62.9,4.74
Ryan Griffin,2018,50,32,41,8.4,82.9,4.92
Matt LaCosse,2018,49,25.1,37,5.4,64.9,4.76
Levine Toilolo,2018,49,39.1,24,1.7,87.5,4.86
Anthony Firkser,2018,44,6.1,20,2,95,4.87
Demetrius Harris,2018,42,35,25,3.3,48,4.57
Ed Dickson,2018,41,19.7,13,2.3,92.3,4.67
Virgil Green,2018,41,69.6,27,6,70.4,4.64
James O'Shaughnessy,2018,39,43.1,38,10.2,71.1,4.73
Luke Stocker,2018,39,45.2,21,4.6,71.4,4.79
Nick Boyle,2018,38,56.6,37,7.6,62.2,5.04
Tyler Eifert,2018,37,19.2,19,4.7,78.9,4.68
Josh Hill,2018,37,60.1,24,4.4,66.7,4.71
Travis Kelce,2019,248,92.48,136,23.6,71.3,4.66
Darren Waller,2019,216,90.3,117,22.4,76.9,4.46
George Kittle,2019,213,75.63,107,22.4,79.4,4.52
Zach Ertz,2019,211,80.07,135,22,65.2,4.76
Mark Andrews,2019,202,41.36,98,22.3,65.3,4.67
Austin Hooper,2019,186,61.99,97,14.2,77.3,4.72
Jared Cook,2019,161,47.18,65,11.2,66.2,4.5
Tyler Higbee,2019,155,62.7,89,14.1,77.5,4.67
Hunter Henry,2019,146,57.92,76,12.7,72.4,4.73
Dallas Goedert,2019,140,66.15,87,14.2,66.7,4.69
Jason Witten,2019,133,75.38,83,13.9,75.9,4.7
Mike Gesicki,2019,130,64.97,89,14.5,57.3,4.54
Greg Olsen,2019,119,70.98,82,13,63.4,4.51
Kyle Rudolph,2019,107,77.44,48,10.3,81.2,4.88
Jack Doyle,2019,106,74.09,72,14,59.7,4.91
Noah Fant,2019,106,68.41,66,13.1,60.6,4.5
Evan Engram,2019,105,41.65,68,11.2,64.7,4.42
Darren Fells,2019,103,69.22,48,9,70.8,4.94
Tyler Eifert,2019,99,44.6,63,10.2,68.3,4.68
Jonnu Smith,2019,97,70.81,44,9.8,79.5,4.62
Jimmy Graham,2019,94,57.7,60,10.5,63.3,4.56
Ryan Griffin,2019,94,50,49,8.7,82.9,4.92
Jacob Hollister,2019,90,46.35,59,11.4,69.5,4.69
Cameron Brate,2019,86,37.87,55,8.9,65.5,4.82
Gerald Everett,2019,85,39.64,60,9.5,61.7,4.62
Jordan Akins,2019,82,61.27,55,10.3,65.5,4.84
O.J. Howard,2019,81,68.72,53,8.4,64.2,4.51
Eric Ebron,2019,80,30.18,52,10.1,59.6,4.6
Blake Jarwin,2019,79,38.72,41,6.9,75.6,4.74
Vance McDonald,2019,78,68.54,55,10.8,69.1,4.69
T.J. Hockenson,2019,76,48.66,59,10.3,54.2,4.7
Irv Smith,2019,75,59.77,47,10.1,76.6,4.63
Dawson Knox,2019,73,60.43,50,9.7,56,4.64
Will Dissly,2019,72,22.45,27,5.2,85.2,4.87
Kaden Smith,2019,72,40.62,42,6.9,73.8,4.92
Hayden Hurst,2019,71,41.36,39,8.9,76.9,4.67
Nick Boyle,2019,68,69.59,43,9.8,72.1,5.04
Foster Moreau,2019,65,36.34,25,4.8,84,4.66
Josh Hill,2019,59,61,35,6,71.4,4.71
C.J. Uzomah,2019,58,58.49,40,6.5,67.5,4.67
Ricky Seals-Jones,2019,57,23.28,22,4.1,63.6,4.69
Delanie Walker,2019,52,19.49,31,6.9,67.7,4.58
Jeremy Sprinkle,2019,49,63.83,40,8.4,65,4.69
Demetrius Harris,2019,47,52.68,27,5,55.6,4.57
Charles Clay,2019,39,37.79,24,4.3,75,4.73
James O'Shaughnessy,2019,38,19.16,20,3.4,70,4.73
Rhett Ellison,2019,37,30.39,28,4.6,64.3,4.88
Anthony Firkser,2019,36,20,24,5.4,58.3,4.87
Maxx Williams,2019,36,46.56,19,3.2,78.9,4.78
Ross Dwelley,2019,34,33.87,22,4.6,68.2,4.95
Travis Kelce,2020,306,81.58,145,25.1,72.4,4.66
Darren Waller,2020,273,91.68,145,28.7,73.8,4.46
Logan Thomas,2020,169,92.65,110,19.4,65.5,4.61
Robert Tonyan,2020,168,61.41,59,11.8,88.1,4.63
T.J. Hockenson,2020,167,73.16,101,18.1,66.3,4.7
Mark Andrews,2020,163,58.13,88,25.4,65.9,4.67
Mike Gesicki,2020,154,58.2,85,16.3,62.4,4.54
Rob Gronkowski,2020,142,75.3,77,12.7,58.4,4.73
Noah Fant,2020,141,68.12,93,18.3,66.7,4.5
Hayden Hurst,2020,141,70.05,88,14.9,63.6,4.67
Dalton Schultz,2020,141,84.8,89,14.5,70.8,4.75
Hunter Henry,2020,140,77.83,93,17.2,64.5,4.73
Jimmy Graham,2020,138,59.38,76,12.8,65.8,4.56
Eric Ebron,2020,136,69.7,91,14.9,61.5,4.6
Jonnu Smith,2020,135,69.43,65,15.3,63.1,4.62
Evan Engram,2020,131,82.63,109,21.8,57.8,4.42
Jared Cook,2020,124,28.7,60,12.5,61.7,4.5
Tyler Higbee,2020,123,72.74,60,11.3,73.3,4.67
George Kittle,2020,119,40.49,63,11.1,76.2,4.52
Dallas Goedert,2020,111,31.22,65,10.9,70.8,4.69
Austin Hooper,2020,109,64.47,70,10.5,65.7,4.72
Irv Smith,2020,95,50.37,43,8.3,69.8,4.63
Dan Arnold,2020,91,41.5,45,7.8,68.9,4.68
Gerald Everett,2020,86,56.84,62,9.3,66.1,4.62
Jordan Akins,2020,77,41.37,49,9,75.5,4.84
Trey Burton,2020,77,34.5,47,9.2,59.6,4.62
Tyler Eifert,2020,77,52.84,60,9.7,60,4.68
Anthony Firkser,2020,77,32.43,53,11.3,73.6,4.87
Mo Alie-Cox,2020,76,46,39,7.5,79.5,4.8
Drew Sample,2020,73,80.74,53,9.1,75.5,4.71
Zach Ertz,2020,72,65.61,72,12,50,4.76
Darren Fells,2020,71,54.95,28,5.1,75,4.94
Chris Herndon IV,2020,71,68.25,45,9,68.9,4.77
Jordan Reed,2020,70,22.58,46,8.1,56.5,4.72
Richard Rodgers,2020,67,36.16,31,5.2,77.4,4.87
Cameron Brate,2020,63,29.64,34,5.6,82.4,4.82
Dawson Knox,2020,63,44.68,44,7.6,54.5,4.64
Kyle Rudolph,2020,62,52.87,37,7.2,75.7,4.88
Jacob Hollister,2020,61,23.93,40,7.5,62.5,4.69
Jack Doyle,2020,60,49.54,33,6.4,69.7,4.91
Cole Kmet,2020,59,56.3,44,7.4,63.6,4.7
Harrison Bryant,2020,58,55.7,38,8.4,63.2,4.73
Will Dissly,2020,53,45.98,29,5.4,82.8,4.87
Durham Smythe,2020,52,41.99,29,5.2,89.7,4.81
Greg Olsen,2020,51,61.5,37,6.3,64.9,4.51
James O'Shaughnessy,2020,49,44.94,38,6.2,73.7,4.73
David Njoku,2020,48,38.64,29,6.8,65.5,4.64
Ross Dwelley,2020,45,45.89,24,4.2,79.2,4.95
Tyler Conklin,2020,43,41.4,26,5,73.1,4.8
Donald Parham,2020,41,18.76,20,3.2,50,4.73
